gene_a,gene_b,uniprot_a,uniprot_b,string_score,string_experimental,string_database,biogrid_systems,huri,sources,num_sources
TGFBR1,TGFBR2,,,500,800,900,Proximity Label-MS,0,STRING|BioGRID,2
SMAD2,TGFBR1,,,900,600,400,Proximity Label-MS,1,STRING|BioGRID|HuRI,3
SMAD3,TGFBR1,,,700,800,600,,0,STRING,1
NOTCH1,RBPJ,,,700,200,0,,0,STRING,1
DLL1,NOTCH1,,,500,800,400,Proximity Label-MS,0,STRING|BioGRID,2
JAG1,NOTCH1,,,600,100,0,,0,STRING,1
CDC37,HSP90AA1,,P07900,600,100,200,Affinity Capture-MS; Two-hybrid; Co-crystal Structure,0,STRING|BioGRID,2
CDC37,HSP90AB1,,P08238,,,,,1,HuRI,1
BRAF,HSP90AA1,P15056,P07900,800,400,400,Affinity Capture-Western; Reconstituted Complex,0,STRING|BioGRID,2
AKT1,HSP90AA1,P31749,P07900,950,600,400,Co-fractionation; Affinity Capture-Western,0,STRING|BioGRID,2
CDK4,HSP90AA1,P11802,P07900,,,,Co-crystal Structure; Reconstituted Complex; Proximity Label-MS,0,BioGRID,1
BID,CASP8,,Q14790,600,400,400,Co-crystal Structure; Proximity Label-MS,0,STRING|BioGRID,2
CASP9,XIAP,P55211,,400,100,0,,0,STRING,1
BAX,BCL2,,P10415,900,0,0,,1,STRING|HuRI,2
BAK1,BCL2,,P10415,400,200,400,Co-fractionation; Proximity Label-MS,0,STRING|BioGRID,2
TNF,TNFRSF1A,,,950,900,400,Affinity Capture-Western,1,STRING|BioGRID|HuRI,3
TNFRSF1A,TRADD,,,600,100,900,Affinity Capture-MS; Proximity Label-MS; Two-hybrid,1,STRING|BioGRID|HuRI,3
TRADD,TRAF2,,,500,100,0,Reconstituted Complex,0,STRING|BioGRID,2
RIPK1,TRADD,,,600,900,200,Co-crystal Structure; Proximity Label-MS; Affinity Capture-MS,0,STRING|BioGRID,2
RIPK1,TRAF2,,,600,0,600,Reconstituted Complex; Co-crystal Structure,0,STRING|BioGRID,2
IKBKB,NFKB1,,P19838,900,100,0,,0,STRING,1
NFKB1,RELA,P19838,Q04206,900,900,200,,0,STRING,1
IL6,IL6R,,,800,900,0,Co-crystal Structure; Co-fractionation,1,STRING|BioGRID|HuRI,3
IL6R,IL6ST,,,,,,Proximity Label-MS; Affinity Capture-Western,1,BioGRID|HuRI,2
KDR,VEGFA,,,500,100,0,,0,STRING,1
FLT1,VEGFA,,,800,800,200,,0,STRING,1
FGF2,FGFR1,,,,,,Reconstituted Complex; Co-fractionation; Co-crystal Structure,0,BioGRID,1
FGF2,FGFR2,,,,,,Two-hybrid; Affinity Capture-Western,0,BioGRID,1
IGF1,IGF1R,,,,,,Proximity Label-MS; Co-fractionation,1,BioGRID|HuRI,2
IGF1R,IRS1,,,950,200,200,Co-crystal Structure; Co-fractionation; Reconstituted Complex,1,STRING|BioGRID|HuRI,3
TP53,UBC,P04637,,,,,Affinity Capture-Western; Proximity Label-MS; Reconstituted Complex,0,BioGRID,1
MDM2,UBC,Q00987,,400,0,0,,0,STRING,1
CUL1,SKP1,,,700,800,0,Co-fractionation; Affinity Capture-Western; Reconstituted Complex,0,STRING|BioGRID,2
SKP1,SKP2,,,900,600,200,Co-fractionation; Proximity Label-MS,0,STRING|BioGRID,2
FBXW7,SKP1,,,500,200,0,,0,STRING,1
CUL1,FBXW7,,,,,,Affinity Capture-Western; Co-fractionation; Reconstituted Complex,0,BioGRID,1
CREBBP,ESR1,,,600,0,0,Two-hybrid; Co-fractionation,1,STRING|BioGRID|HuRI,3
EP300,ESR1,,,600,0,0,,0,STRING,1
ESR1,SP1,,,950,900,400,Reconstituted Complex,0,STRING|BioGRID,2
CREBBP,EP300,,,600,100,0,Affinity Capture-MS; Proximity Label-MS,0,STRING|BioGRID,2
CASP9,RB1,P55211,P06400,900,800,0,Co-fractionation; Affinity Capture-MS; Two-hybrid,1,STRING|BioGRID|HuRI,3
IKBKB,MDM2,,Q00987,500,200,0,,0,STRING,1
PTEN,SOS1,P60484,Q07889,700,200,600,,0,STRING,1
ERBB2,MAX,P04626,P61244,500,200,0,,0,STRING,1
CCNE1,IKBKB,,,900,0,0,Affinity Capture-MS; Two-hybrid; Proximity Label-MS,0,STRING|BioGRID,2
IKBKB,XIAP,,,,,,Two-hybrid,0,BioGRID,1
CDK6,STUB1,Q00534,,950,400,0,,0,STRING,1
CUL1,TGFBR2,,,500,100,0,,0,STRING,1
CDK6,EGFR,Q00534,P00533,500,800,0,,0,STRING,1
CREBBP,ERBB3,,,500,900,200,,0,STRING,1
MDM2,SKP2,Q00987,,,,,Co-crystal Structure; Co-fractionation,0,BioGRID,1
MAPK1,UBC,,,400,200,0,,0,STRING,1
BAX,RIPK1,,,700,800,200,,1,STRING|HuRI,2
STUB1,TRADD,,,900,900,600,,1,STRING|HuRI,2
ERBB2,TGFBR1,P04626,,500,100,0,,0,STRING,1
CUL1,JAG1,,,700,200,0,,0,STRING,1
FGFR2,PTEN,,P60484,700,100,0,,0,STRING,1
IL6ST,TP53,,P04637,400,900,0,Affinity Capture-Western; Co-fractionation; Proximity Label-MS,0,STRING|BioGRID,2
FGFR2,NRAS,,,700,0,200,Proximity Label-MS,0,STRING|BioGRID,2
TGFBR2,TRADD,,,400,800,600,Two-hybrid,0,STRING|BioGRID,2
BCR,PTEN,,P60484,,,,Proximity Label-MS; Affinity Capture-MS,0,BioGRID,1
EGFR,KRAS,P00533,P01116,600,400,900,Co-crystal Structure,0,STRING|BioGRID,2
BCR,IL6ST,,,500,200,600,Affinity Capture-MS; Two-hybrid,0,STRING|BioGRID,2
CCNE1,CDK6,,Q00534,,,,Co-crystal Structure,0,BioGRID,1
CCND1,DVL1,,,900,200,600,,0,STRING,1
AKT1,SKP2,P31749,,700,100,400,,0,STRING,1
ATM,FGFR2,Q13315,,400,100,0,,0,STRING,1
RBPJ,RELA,,Q04206,600,0,0,,0,STRING,1
E2F1,HSPA1A,,,600,900,600,,0,STRING,1
CDK4,DVL1,P11802,,,,,Co-fractionation; Proximity Label-MS,0,BioGRID,1
CDC37,JAK2,,O60674,700,200,0,,0,STRING,1
CASP8,IRS1,Q14790,,950,900,400,Affinity Capture-Western; Co-crystal Structure; Proximity Label-MS,0,STRING|BioGRID,2
CASP3,GSK3B,P42574,P49841,700,0,0,,0,STRING,1
MAP2K2,RNF8,,,800,200,0,,0,STRING,1
CHEK2,TRAF2,O96017,,700,0,900,Two-hybrid; Affinity Capture-MS; Affinity Capture-Western,0,STRING|BioGRID,2
ATM,BAK1,Q13315,,800,800,400,,0,STRING,1
ERBB3,VEGFA,,,600,200,0,,0,STRING,1
CDK4,JAK2,P11802,O60674,400,200,0,,0,STRING,1
CCND1,ERBB3,,,900,800,200,,0,STRING,1
DVL1,PTEN,,P60484,400,900,900,,1,STRING|HuRI,2
CASP9,RBPJ,P55211,,600,0,0,Co-fractionation,0,STRING|BioGRID,2
GSK3B,IRS1,P49841,,500,600,400,,0,STRING,1
AXIN1,NRAS,,,400,600,400,,0,STRING,1
APC,MAPK3,P25054,,,,,Co-crystal Structure; Co-fractionation,0,BioGRID,1
BID,MTOR,,P42345,600,200,0,,0,STRING,1
TNF,TRADD,,,400,400,200,,0,STRING,1
BCL2,CDK2,P10415,P24941,600,0,0,,0,STRING,1
CASP9,SKP2,P55211,,,,,,1,HuRI,1
HRAS,HSPA1A,,,600,600,200,,0,STRING,1
RELA,SOS1,Q04206,Q07889,400,200,0,,0,STRING,1
HES1,NRAS,,,500,200,0,,0,STRING,1
DVL1,MTOR,,P42345,,,,Reconstituted Complex,0,BioGRID,1
CASP9,TNFRSF1A,P55211,,500,200,0,,0,STRING,1
ERBB2,UBC,P04626,,900,800,0,Affinity Capture-MS; Reconstituted Complex,0,STRING|BioGRID,2
SRC,TNF,P12931,,600,200,900,Two-hybrid,0,STRING|BioGRID,2
CHEK1,ERBB3,O14757,,,,,Co-fractionation; Two-hybrid; Proximity Label-MS,0,BioGRID,1
IGF1R,MDM4,,O15151,600,0,0,,0,STRING,1
FGFR2,STAT5B,,,400,100,0,,0,STRING,1
MTOR,SMAD3,P42345,,600,0,0,,0,STRING,1
CHEK2,EGFR,O96017,P00533,,,,Affinity Capture-MS; Affinity Capture-Western; Co-fractionation,0,BioGRID,1
RIPK1,UBE2I,,,600,0,0,,0,STRING,1
EGFR,STAT5B,P00533,,,,,Reconstituted Complex; Co-fractionation; Proximity Label-MS,0,BioGRID,1
BAX,SP1,,,950,400,900,Affinity Capture-MS; Two-hybrid,1,STRING|BioGRID|HuRI,3
BCL2,SMAD2,P10415,,700,0,0,Two-hybrid; Affinity Capture-Western; Co-crystal Structure,0,STRING|BioGRID,2
BRAF,RBPJ,P15056,,500,100,0,,0,STRING,1
AKT1,MAX,P31749,P61244,600,0,0,,0,STRING,1
IL6,SOS1,,Q07889,,,,Two-hybrid; Co-fractionation,1,BioGRID|HuRI,2
HSPA1A,UBC,,,600,0,0,,0,STRING,1
AKT1,IL6,P31749,,500,0,400,Co-crystal Structure,0,STRING|BioGRID,2
TGFBR2,TRIM25,,,,,,Two-hybrid; Proximity Label-MS,0,BioGRID,1
SMAD3,TRIM25,,,950,900,600,Proximity Label-MS,0,STRING|BioGRID,2
ERBB2,GSK3B,P04626,P49841,500,900,600,Two-hybrid,0,STRING|BioGRID,2
EP300,MAX,,P61244,,,,Two-hybrid,1,BioGRID|HuRI,2
CDK6,SP1,Q00534,,,,,Affinity Capture-MS; Two-hybrid,0,BioGRID,1
ATR,IL6R,Q13535,,700,600,0,,0,STRING,1
KRAS,RB1,P01116,P06400,,,,,1,HuRI,1
CASP8,NRAS,Q14790,,800,0,900,,0,STRING,1
FGF2,TNF,,,700,800,0,Proximity Label-MS; Affinity Capture-Western,0,STRING|BioGRID,2
SKP1,TGFBR2,,,900,400,0,,0,STRING,1
CHEK2,WNT3A,O96017,,500,200,600,,0,STRING,1
DVL1,SKP1,,,800,600,200,Affinity Capture-Western; Affinity Capture-MS; Co-crystal Structure,0,STRING|BioGRID,2
HES1,HSP90AB1,,P08238,500,100,0,,0,STRING,1
CDC37,PIK3CA,,P42336,500,400,200,,0,STRING,1
BRCA1,TNF,P38398,,,,,Co-crystal Structure; Co-fractionation,0,BioGRID,1
NFKB1,RB1,P19838,P06400,700,0,0,,1,STRING|HuRI,2
HSPA1A,TNF,,,900,200,0,,0,STRING,1
IL6R,MTOR,,P42345,600,800,0,Proximity Label-MS; Affinity Capture-Western; Affinity Capture-MS,0,STRING|BioGRID,2
BCL2,VEGFA,P10415,,,,,Reconstituted Complex; Two-hybrid; Co-crystal Structure,0,BioGRID,1
BCR,RB1,,P06400,400,200,600,Reconstituted Complex; Two-hybrid,0,STRING|BioGRID,2
JAK2,NOTCH1,O60674,,400,200,0,,0,STRING,1
NRAS,RBPJ,,,500,100,0,,0,STRING,1
NFKB1,TP53,P19838,P04637,,,,Co-fractionation; Affinity Capture-MS,1,BioGRID|HuRI,2
AKT1,NFKB1,P31749,P19838,900,400,0,Affinity Capture-MS; Proximity Label-MS; Reconstituted Complex,0,STRING|BioGRID,2
CREBBP,IL6ST,,,600,100,200,Proximity Label-MS; Reconstituted Complex,0,STRING|BioGRID,2
CREBBP,RAF1,,,,,,Affinity Capture-MS; Co-crystal Structure; Proximity Label-MS,0,BioGRID,1
CASP8,CCNE1,Q14790,,,,,Affinity Capture-Western; Co-fractionation,0,BioGRID,1
CASP9,STAT3,P55211,P40763,600,400,0,Reconstituted Complex; Affinity Capture-Western; Proximity Label-MS,0,STRING|BioGRID,2
CREBBP,SKP2,,,700,600,0,Two-hybrid; Proximity Label-MS,0,STRING|BioGRID,2
KRAS,MAPK1,P01116,,400,0,400,,1,STRING|HuRI,2
AXIN1,IL6ST,,,900,100,600,,0,STRING,1
NRAS,STUB1,,,700,900,900,Affinity Capture-Western,0,STRING|BioGRID,2
FLT1,HSP90AB1,,P08238,700,100,0,,0,STRING,1
SKP1,TP53,,P04637,400,200,0,,0,STRING,1
AR,SRC,,P12931,,,,,1,HuRI,1
BRCA2,RB1,P51587,P06400,,,,Affinity Capture-Western; Reconstituted Complex; Affinity Capture-MS,0,BioGRID,1
FGFR2,STAT5A,,,600,100,200,,1,STRING|HuRI,2
CHEK1,GRB2,O14757,P62993,,,,,1,HuRI,1
GRB2,UBE2I,P62993,,,,,Proximity Label-MS; Two-hybrid; Co-crystal Structure,1,BioGRID|HuRI,2
CDK4,RELA,P11802,Q04206,500,600,0,,0,STRING,1
AR,IGF1,,,950,800,400,Proximity Label-MS; Reconstituted Complex; Affinity Capture-Western,0,STRING|BioGRID,2
CHEK2,IL6ST,O96017,,600,200,0,,0,STRING,1
HSPA1A,VEGFA,,,700,0,400,Proximity Label-MS; Co-fractionation,0,STRING|BioGRID,2
BAK1,MYC,,P01106,400,200,400,Co-fractionation,0,STRING|BioGRID,2
CDC37,ESR1,,,950,900,0,,0,STRING,1
AKT1,HRAS,P31749,,800,900,900,,0,STRING,1
HSP90AB1,SKP2,P08238,,700,200,0,,0,STRING,1
EGFR,TGFBR2,P00533,,400,400,0,,0,STRING,1
IL6R,STUB1,,,,,,Two-hybrid; Affinity Capture-MS; Proximity Label-MS,0,BioGRID,1
RELA,TNFRSF1A,Q04206,,600,100,0,,0,STRING,1
MAPK1,RIPK1,,,,,,Co-crystal Structure; Reconstituted Complex,1,BioGRID|HuRI,2
SMAD3,STAT5A,,,,,,Affinity Capture-MS; Reconstituted Complex,0,BioGRID,1
BAX,BID,,,900,900,900,,0,STRING,1
AXIN1,DLL1,,,400,600,900,Co-fractionation; Co-crystal Structure,0,STRING|BioGRID,2
HSP90AA1,JAG1,P07900,,800,800,0,Co-crystal Structure; Co-fractionation,0,STRING|BioGRID,2
E2F1,SOS1,,Q07889,400,200,0,,0,STRING,1
CHEK2,ERBB2,O96017,P04626,,,,,1,HuRI,1
BCR,BRCA2,,P51587,500,200,400,Two-hybrid,1,STRING|BioGRID|HuRI,3
CDC37,CUL1,,,,,,Proximity Label-MS; Co-crystal Structure; Reconstituted Complex,1,BioGRID|HuRI,2
CUL1,ERBB3,,,950,600,0,,1,STRING|HuRI,2
ERBB2,TP53,P04626,P04637,900,900,600,,1,STRING|HuRI,2
CDK2,TRAF2,P24941,,700,200,900,,0,STRING,1
CASP8,CHEK1,Q14790,O14757,500,200,0,,0,STRING,1
CHEK2,ERBB3,O96017,,950,900,400,,1,STRING|HuRI,2
ABL1,MDM4,,O15151,600,100,0,,0,STRING,1
CDK2,EP300,P24941,,700,100,0,,1,STRING|HuRI,2
GRB2,PTEN,P62993,P60484,900,400,200,,1,STRING|HuRI,2
AR,BID,,,500,100,0,,0,STRING,1
EGFR,STUB1,P00533,,800,100,400,Proximity Label-MS,0,STRING|BioGRID,2
MYC,NFKB1,P01106,P19838,400,400,0,Two-hybrid; Affinity Capture-Western,0,STRING|BioGRID,2
ESR1,RNF8,,,400,200,0,,0,STRING,1
KDR,SOS1,,Q07889,,,,Proximity Label-MS; Affinity Capture-Western,0,BioGRID,1
ESR1,FGFR2,,,900,400,400,,0,STRING,1
MAP2K2,SMAD4,,,500,900,0,,0,STRING,1
BAK1,CCND1,,,400,900,200,Affinity Capture-MS,0,STRING|BioGRID,2
APC,NOTCH1,P25054,,,,,,1,HuRI,1
SMAD4,TGFBR2,,,,,,Affinity Capture-MS; Co-crystal Structure; Reconstituted Complex,0,BioGRID,1
